id,name,created_at,updated_at,icons,slug
6,tv e fotocamere,,,bi bi-camera,tv-e-fotocamere
4,telefonia ed accessori,,,bi bi-phone,telefonia-e-accessori
7,sport,,,bi bi-scooter,sport
9,moto e auto,,,bi bi-car-front,moto-e-auto
12,moda e accessori,,,bi bi-bag,moda-e-accessori
2,libri,,,bi bi-book,libri
15,immobili,,,bi bi-building,immobili
10,hobby e collezionismo,,,bi bi-brush,hobby-e-collezionismo
5,elettronica,,,bi bi-wifi,elettronica
13,elettrodomestici,,,bi bi-box-seam,elettrodomestici
1,console e videogiochi,,,bi bi-controller,console_e_videogiochi
3,cinema e musica,,,bi bi-boombox,cinema-e-musica
8,biciclette,,,bi bi-bicycle,biciclette
11,bambini,,,bi bi-rocket,bambini
14,attrezzature da lavoro,,,bi bi-bucket,attrezzature-da-lavoro
